11/01/2020 21:43;351;2020-01-11_20_43_29;INFO;rs;1522643136;__main__;population_size;12;x_y_limits;150;z_sigma;5;sample_point_distance;200 Meters;selection_pressure;0.2;pc;0.9;pm;0.5;aimed_point_factor;2;n_crossover;7;mutation_max_disturbance_distance;60;mutation_group_size;4;percentage_inserted_and_deleted;0.25;percentage_disturbed;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2020 00:36;938;2020-01-11_20_43_29;INFO;10;threedpoints_1578775198__10;3.642.646.066.506.000;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775198__10;60.286.919.627.688.200;0.8325703399213396;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__8'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578774927__9'; [36.55444533128937;14.049.071.916.211.000; 7.446418935478794]]; ['threedpoints_1578775198__10'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775198__10'; [36.42646066506004;16.629.925.089.881.900; 6.089756565073815]]; ['threedpoints_1578775198__10'; [42.56473704242778;23.702.455.885.232.800; 6.0286919627688285]]];;;;;;;;;;;;
12/01/2020 00:56;517;2020-01-11_20_43_29;INFO;11;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775198__10;60.286.919.627.688.200;-0.13521923931352653;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578774927__9'; [36.55444533128937;14.049.071.916.211.000; 7.446418935478794]]; ['threedpoints_1578775198__10'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775198__10'; [36.42646066506004;16.629.925.089.881.900; 6.089756565073815]]; ['threedpoints_1578775198__10'; [42.56473704242778;23.702.455.885.232.800; 6.0286919627688285]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775198__11'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578774927__11'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__11'; [36.55444533128937;14.049.071.916.211.000; 7.446418935478794]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]]
12/01/2020 01:17;833;2020-01-11_20_43_29;INFO;12;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775198__12;6.015.265.354.977.030;0.9984750750761755;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__10'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775198__10'; [36.42646066506004;16.629.925.089.881.900; 6.089756565073815]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775198__11'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578774927__11'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775132__12'; [36.547275023134674;14.001.154.507.354.800; 7.40326596292842]]; ['threedpoints_1578775198__12'; [36.32886747351571;16.874.508.560.000.400; 7.4886344008377055]]; ['threedpoints_1578775198__12'; [37.369393341005996;16.832.289.891.914.900; 6.015265354977035]]]
12/01/2020 01:39;209;2020-01-11_20_43_29;INFO;13;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775198__12;6.015.265.354.977.030;5.935.331.044.025.950;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__10'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775198__10'; [36.42646066506004;16.629.925.089.881.900; 6.089756565073815]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775198__11'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775132__12'; [36.547275023134674;14.001.154.507.354.800; 7.40326596292842]]; ['threedpoints_1578775198__12'; [36.32886747351571;16.874.508.560.000.400; 7.4886344008377055]]; ['threedpoints_1578775198__12'; [37.369393341005996;16.832.289.891.914.900; 6.015265354977035]]; ['threedpoints_1578775198__13'; [37.386286055793875;1.660.802.681.993.660; 6.546764390272703]]]
12/01/2020 02:02;463;2020-01-11_20_43_29;INFO;14;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775198__12;6.015.265.354.977.030;1.837.465.583.628.920;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775198__11'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775132__12'; [36.547275023134674;14.001.154.507.354.800; 7.40326596292842]]; ['threedpoints_1578775198__12'; [36.32886747351571;16.874.508.560.000.400; 7.4886344008377055]]; ['threedpoints_1578775198__12'; [37.369393341005996;16.832.289.891.914.900; 6.015265354977035]]; ['threedpoints_1578775198__13'; [37.386286055793875;1.660.802.681.993.660; 6.546764390272703]]; ['threedpoints_1578775198__14'; [36.30783725725149;16.994.599.706.211.200; 6.306090951474075]]; ['threedpoints_1578775198__14'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]]
12/01/2020 02:25;839;2020-01-11_20_43_29;INFO;15;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__15;590.944.046.250.807;0.8102547956033757;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775198__12'; [36.32886747351571;16.874.508.560.000.400; 7.4886344008377055]]; ['threedpoints_1578775198__12'; [37.369393341005996;16.832.289.891.914.900; 6.015265354977035]]; ['threedpoints_1578775198__14'; [36.30783725725149;16.994.599.706.211.200; 6.306090951474075]]; ['threedpoints_1578775198__14'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__15'; [37.3859472599974;16.468.677.615.938.300; 5.90944046250807]]; ['threedpoints_1578775132__15'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578775198__15'; [37.6258390522042;15.922.417.776.607.400; 6.757957335041242]]]
12/01/2020 02:50;968;2020-01-11_20_43_29;INFO;16;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__15;590.944.046.250.807;0.5060400932091085;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775198__12'; [37.369393341005996;16.832.289.891.914.900; 6.015265354977035]]; ['threedpoints_1578775198__14'; [36.30783725725149;16.994.599.706.211.200; 6.306090951474075]]; ['threedpoints_1578775198__14'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__15'; [37.3859472599974;16.468.677.615.938.300; 5.90944046250807]]; ['threedpoints_1578775132__15'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578775198__15'; [37.6258390522042;15.922.417.776.607.400; 6.757957335041242]]; ['threedpoints_1578775132__16'; [36.32664609853746;1.679.230.133.584.050; 7.797639804241642]]]
12/01/2020 03:14;892;2020-01-11_20_43_29;INFO;17;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__15;590.944.046.250.807;11.177.743.125.709.700;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775198__14'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__15'; [37.3859472599974;16.468.677.615.938.300; 5.90944046250807]]; ['threedpoints_1578775132__15'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578775198__15'; [37.6258390522042;15.922.417.776.607.400; 6.757957335041242]]; ['threedpoints_1578775132__16'; [36.32664609853746;1.679.230.133.584.050; 7.797639804241642]]; ['threedpoints_1578775132__17'; [37.86863299746256;13.457.440.101.207.300; 7.568619401990974]]; ['threedpoints_1578775198__17'; [36.52866579386331;16.555.441.980.275.800; 7.266143909358451]]]
12/01/2020 03:40;605;2020-01-11_20_43_29;INFO;18;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__15;590.944.046.250.807;15.240.739.762.073.200;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775198__14'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__15'; [37.3859472599974;16.468.677.615.938.300; 5.90944046250807]]; ['threedpoints_1578775132__15'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578775132__16'; [36.32664609853746;1.679.230.133.584.050; 7.797639804241642]]; ['threedpoints_1578775132__17'; [37.86863299746256;13.457.440.101.207.300; 7.568619401990974]]; ['threedpoints_1578775198__17'; [36.52866579386331;16.555.441.980.275.800; 7.266143909358451]]; ['threedpoints_1578775198__18'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775132__18'; [37.61627777196956;15.710.754.125.739.900; 6.42954475527573]]; ['threedpoints_1578775198__18'; [36.960969768883096;1.586.612.151.300.090; 6.7714083396056255]]]
12/01/2020 04:06;108;2020-01-11_20_43_29;INFO;19;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__15;590.944.046.250.807;18.281.266.654.092.500;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]; ['threedpoints_1578775198__14'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__15'; [37.3859472599974;16.468.677.615.938.300; 5.90944046250807]]; ['threedpoints_1578775132__15'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578775132__16'; [36.32664609853746;1.679.230.133.584.050; 7.797639804241642]]; ['threedpoints_1578775198__17'; [36.52866579386331;16.555.441.980.275.800; 7.266143909358451]]; ['threedpoints_1578775198__18'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775198__18'; [36.960969768883096;1.586.612.151.300.090; 6.7714083396056255]]; ['threedpoints_1578775132__19'; [36.661630280757365;161.721.188.745.826; 7.60603330611894]]; ['threedpoints_1578775198__19'; [38.17492973256257;16.172.173.151.267.800; 6.298509215046835]]]
