2020-01-13 03:12:33,281,2020-01-13_02_12_33,INFO,rs,1548333376,__main__,population_size,12,x_y_limits,150,z_sigma,5,sample_point_distance,200 Meters,selection_pressure,0.2,pc,0.9,pm,0.5,aimed_point_factor,2,n_crossover,7,mutation_max_disturbance_distance,60,mutation_group_size,4,percentage_inserted_and_deleted,0.25,percentage_disturbed,0.2
2020-01-13 03:42:04,352,2020-01-13_02_12_33,INFO,0,threedpoints_1578879701__0,37.94794736890324,threedpoints_1578879557__0,1.4556808938224985,threedpoints_1578879848__0,6.349430601559416,-0.24159006621553658,[['threedpoints_1578879557__0', [38.77796521135851, 1.4556808938224985, 6.434839353777159]], ['threedpoints_1578879701__0', [37.94794736890324, 1.691269660268305, 8.47636457515213]], ['threedpoints_1578879848__0', [39.90518056034841, 1.661712440992722, 6.349430601559416]]]
2020-01-13 04:14:56,350,2020-01-13_02_12_33,INFO,1,threedpoints_1578879701__0,37.94794736890324,threedpoints_1578880912__1,1.4155190251241827,threedpoints_1578879848__1,5.9018424038788195,0.7316344816436917,[['threedpoints_1578879557__0', [38.77796521135851, 1.4556808938224985, 6.434839353777159]], ['threedpoints_1578879701__0', [37.94794736890324, 1.691269660268305, 8.47636457515213]], ['threedpoints_1578879848__0', [39.90518056034841, 1.661712440992722, 6.349430601559416]], ['threedpoints_1578880912__1', [39.701256126499636, 1.4155190251241827, 6.981145591879771]], ['threedpoints_1578881064__1', [44.95561278916404, 2.2264537097338133, 5.958427953428692]], ['threedpoints_1578879848__1', [48.68801702949666, 2.8574945342890388, 5.9018424038788195]]]
2020-01-13 04:48:38,122,2020-01-13_02_12_33,INFO,2,threedpoints_1578879701__0,37.94794736890324,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__2,5.535226101661947,0.877023365484451,[['threedpoints_1578879557__0', [38.77796521135851, 1.4556808938224985, 6.434839353777159]], ['threedpoints_1578879701__0', [37.94794736890324, 1.691269660268305, 8.47636457515213]], ['threedpoints_1578880912__1', [39.701256126499636, 1.4155190251241827, 6.981145591879771]], ['threedpoints_1578881064__1', [44.95561278916404, 2.2264537097338133, 5.958427953428692]], ['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578881064__2', [54.14015076564675, 3.0116441143103234, 5.535226101661947]], ['threedpoints_1578880754__2', [41.968822355787516, 1.7926650588891586, 6.086870368407945]], ['threedpoints_1578880754__2', [47.1893679298298, 2.401030668557718, 5.84285905537265]]]
2020-01-13 05:24:13,670,2020-01-13_02_12_33,INFO,3,threedpoints_1578880754__3,37.44934032434226,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__2,5.535226101661947,-0.3693645111265731,[['threedpoints_1578880912__1', [39.701256126499636, 1.4155190251241827, 6.981145591879771]], ['threedpoints_1578881064__1', [44.95561278916404, 2.2264537097338133, 5.958427953428692]], ['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578881064__2', [54.14015076564675, 3.0116441143103234, 5.535226101661947]], ['threedpoints_1578880754__2', [41.968822355787516, 1.7926650588891586, 6.086870368407945]], ['threedpoints_1578880754__2', [47.1893679298298, 2.401030668557718, 5.84285905537265]], ['threedpoints_1578879701__3', [47.25286834691128, 2.727539334867225, 5.59277267742125]], ['threedpoints_1578880912__3', [46.61362567598326, 2.6685885301329995, 5.723636820369092]], ['threedpoints_1578880754__3', [37.44934032434226, 1.5242253908621777, 6.429972208156378]], ['threedpoints_1578879848__3', [41.23458665725202, 1.9171803268875678, 5.964330040091213]], ['threedpoints_1578879557__3', [38.27969429238367, 1.4045853842564169, 7.898185046706187]], ['threedpoints_1578879701__3', [39.757983115124844, 1.334627501577685, 6.206180121890681]]]
2020-01-13 06:01:27,440,2020-01-13_02_12_33,INFO,4,threedpoints_1578880754__3,37.44934032434226,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578880912__4,5.471789852994003,0.6736381128505329,[['threedpoints_1578880912__1', [39.701256126499636, 1.4155190251241827, 6.981145591879771]], ['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578880754__3', [37.44934032434226, 1.5242253908621777, 6.429972208156378]], ['threedpoints_1578879557__3', [38.27969429238367, 1.4045853842564169, 7.898185046706187]], ['threedpoints_1578879701__3', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578880912__4', [44.35880361595465, 2.1339872146679157, 5.471789852994003]], ['threedpoints_1578881064__4', [40.64968473063522, 1.6018190596062043, 5.688218978744353]], ['threedpoints_1578880754__4', [38.50013419837141, 1.6960889824607255, 6.284850894303234]], ['threedpoints_1578880912__4', [39.31162672909539, 1.6476674245627632, 6.185066664086732]], ['threedpoints_1578879701__4', [39.55273006378493, 1.6220465252691185, 5.581730282672194]]]
2020-01-13 06:39:28,088,2020-01-13_02_12_33,INFO,5,threedpoints_1578880754__3,37.44934032434226,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578880912__4,5.471789852994003,-6.498341743466085e-05,[['threedpoints_1578880912__1', [39.701256126499636, 1.4155190251241827, 6.981145591879771]], ['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578880754__3', [37.44934032434226, 1.5242253908621777, 6.429972208156378]], ['threedpoints_1578879557__3', [38.27969429238367, 1.4045853842564169, 7.898185046706187]], ['threedpoints_1578879701__3', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578880912__4', [44.35880361595465, 2.1339872146679157, 5.471789852994003]], ['threedpoints_1578881064__4', [40.64968473063522, 1.6018190596062043, 5.688218978744353]], ['threedpoints_1578880754__4', [38.50013419837141, 1.6960889824607255, 6.284850894303234]], ['threedpoints_1578879701__4', [39.55273006378493, 1.6220465252691185, 5.581730282672194]], ['threedpoints_1578881064__5', [38.58632813675718, 1.5759602228657168, 6.263585514223726]], ['threedpoints_1578879701__5', [38.717234606231784, 1.6406753909705913, 6.010523176010777]]]
2020-01-13 07:19:35,928,2020-01-13_02_12_33,INFO,6,threedpoints_1578880754__3,37.44934032434226,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__6,5.075369383677152,1.3321276526422423,[['threedpoints_1578880912__1', [39.701256126499636, 1.4155190251241827, 6.981145591879771]], ['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578880754__3', [37.44934032434226, 1.5242253908621777, 6.429972208156378]], ['threedpoints_1578879557__3', [38.27969429238367, 1.4045853842564169, 7.898185046706187]], ['threedpoints_1578879701__3', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578879701__4', [39.55273006378493, 1.6220465252691185, 5.581730282672194]], ['threedpoints_1578881064__5', [38.58632813675718, 1.5759602228657168, 6.263585514223726]], ['threedpoints_1578879701__5', [38.717234606231784, 1.6406753909705913, 6.010523176010777]], ['threedpoints_1578880912__6', [37.44934032434226, 1.5242253908621777, 6.429972208156378]], ['threedpoints_1578881064__6', [40.03589432497462, 1.4390024335384795, 5.075369383677152]], ['threedpoints_1578880754__6', [40.03589432497462, 1.4390024335384795, 5.075369383677152]], ['threedpoints_1578881064__6', [38.00729497510489, 1.6557640348062508, 5.72788482501137]]]
2020-01-13 08:01:10,529,2020-01-13_02_12_33,INFO,7,threedpoints_1578881064__7,37.2973283953301,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__6,5.075369383677152,0.5767400329448691,[['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578879701__4', [39.55273006378493, 1.6220465252691185, 5.581730282672194]], ['threedpoints_1578881064__5', [38.58632813675718, 1.5759602228657168, 6.263585514223726]], ['threedpoints_1578879701__5', [38.717234606231784, 1.6406753909705913, 6.010523176010777]], ['threedpoints_1578881064__6', [40.03589432497462, 1.4390024335384795, 5.075369383677152]], ['threedpoints_1578880754__6', [40.03589432497462, 1.4390024335384795, 5.075369383677152]], ['threedpoints_1578881064__6', [38.00729497510489, 1.6557640348062508, 5.72788482501137]], ['threedpoints_1578880912__7', [37.44914807390251, 1.7383969900237537, 6.554175846032546]], ['threedpoints_1578879557__7', [38.442521589853364, 1.346839031530246, 7.102630648769478]], ['threedpoints_1578881064__7', [37.99856470288567, 1.695467886359252, 5.782541653104227]], ['threedpoints_1578879701__7', [37.53403757021645, 1.396908253801873, 6.439917432069318]], ['threedpoints_1578881064__7', [37.2973283953301, 1.7313698254818315, 7.889380695974703]]]
2020-01-13 08:44:33,292,2020-01-13_02_12_33,INFO,8,threedpoints_1578881064__7,37.2973283953301,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__8,4.984024855318702,0.9768555335895108,[['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578879701__4', [39.55273006378493, 1.6220465252691185, 5.581730282672194]], ['threedpoints_1578881064__5', [38.58632813675718, 1.5759602228657168, 6.263585514223726]], ['threedpoints_1578879701__5', [38.717234606231784, 1.6406753909705913, 6.010523176010777]], ['threedpoints_1578881064__6', [38.00729497510489, 1.6557640348062508, 5.72788482501137]], ['threedpoints_1578879557__7', [38.442521589853364, 1.346839031530246, 7.102630648769478]], ['threedpoints_1578881064__7', [37.99856470288567, 1.695467886359252, 5.782541653104227]], ['threedpoints_1578879701__7', [37.53403757021645, 1.396908253801873, 6.439917432069318]], ['threedpoints_1578881064__7', [37.2973283953301, 1.7313698254818315, 7.889380695974703]], ['threedpoints_1578880912__8', [38.83338145592982, 1.6522833443536422, 5.269657969502946]], ['threedpoints_1578881064__8', [39.99823862508888, 1.416516456207575, 4.984024855318702]], ['threedpoints_1578881064__8', [37.44914807390251, 1.7383969900237537, 6.554175846032546]]]
2020-01-13 09:29:48,979,2020-01-13_02_12_33,INFO,9,threedpoints_1578881064__7,37.2973283953301,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__8,4.984024855318702,0.08025750275576371,[['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578879701__4', [39.55273006378493, 1.6220465252691185, 5.581730282672194]], ['threedpoints_1578879557__7', [38.442521589853364, 1.346839031530246, 7.102630648769478]], ['threedpoints_1578881064__7', [37.99856470288567, 1.695467886359252, 5.782541653104227]], ['threedpoints_1578879701__7', [37.53403757021645, 1.396908253801873, 6.439917432069318]], ['threedpoints_1578881064__7', [37.2973283953301, 1.7313698254818315, 7.889380695974703]], ['threedpoints_1578880912__8', [38.83338145592982, 1.6522833443536422, 5.269657969502946]], ['threedpoints_1578881064__8', [39.99823862508888, 1.416516456207575, 4.984024855318702]], ['threedpoints_1578879701__9', [37.31316448220168, 1.6578025276273682, 7.992850086363714]], ['threedpoints_1578881064__9', [37.38974190491164, 1.545242027621124, 6.898033653730727]], ['threedpoints_1578881064__9', [38.525931017845096, 1.5501998543447932, 5.978123386746289]], ['threedpoints_1578881064__9', [38.21055658684135, 1.7510758991549698, 5.3076556161279065]]]
2020-01-13 10:15:26,558,2020-01-13_02_12_33,INFO,10,threedpoints_1578881064__7,37.2973283953301,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__8,4.984024855318702,1.1463431116682763,[['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578879557__7', [38.442521589853364, 1.346839031530246, 7.102630648769478]], ['threedpoints_1578879701__7', [37.53403757021645, 1.396908253801873, 6.439917432069318]], ['threedpoints_1578881064__7', [37.2973283953301, 1.7313698254818315, 7.889380695974703]], ['threedpoints_1578881064__8', [39.99823862508888, 1.416516456207575, 4.984024855318702]], ['threedpoints_1578879701__9', [37.31316448220168, 1.6578025276273682, 7.992850086363714]], ['threedpoints_1578881064__9', [37.38974190491164, 1.545242027621124, 6.898033653730727]], ['threedpoints_1578881064__9', [38.21055658684135, 1.7510758991549698, 5.3076556161279065]], ['threedpoints_1578879557__10', [39.332616903515, 1.6735127015590057, 5.249905468878276]], ['threedpoints_1578879701__10', [38.93016591770412, 1.4409805063518633, 5.669506163433639]], ['threedpoints_1578880912__10', [38.728166843310234, 1.3899700666258323, 6.318878514140837]], ['threedpoints_1578881064__10', [37.84824233276161, 1.5487817683665734, 5.755863996948339]]]
2020-01-13 11:01:47,974,2020-01-13_02_12_33,INFO,11,threedpoints_1578881064__11,37.163207749992246,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__8,4.984024855318702,0.25575657304808175,[['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578879557__7', [38.442521589853364, 1.346839031530246, 7.102630648769478]], ['threedpoints_1578879701__7', [37.53403757021645, 1.396908253801873, 6.439917432069318]], ['threedpoints_1578881064__8', [39.99823862508888, 1.416516456207575, 4.984024855318702]], ['threedpoints_1578881064__9', [37.38974190491164, 1.545242027621124, 6.898033653730727]], ['threedpoints_1578881064__9', [38.21055658684135, 1.7510758991549698, 5.3076556161279065]], ['threedpoints_1578879557__10', [39.332616903515, 1.6735127015590057, 5.249905468878276]], ['threedpoints_1578881064__10', [37.84824233276161, 1.5487817683665734, 5.755863996948339]], ['threedpoints_1578879701__11', [37.22789337382709, 1.5393575985057892, 7.351745932020874]], ['threedpoints_1578881064__11', [37.70282681195953, 1.6430344984031588, 6.339044216895295]], ['threedpoints_1578881064__11', [37.163207749992246, 1.5537783326933625, 7.502359786499665]], ['threedpoints_1578880912__11', [38.44332795080153, 1.3420034443913027, 5.585206232619807]]]
2020-01-13 11:49:10,201,2020-01-13_02_12_33,INFO,12,threedpoints_1578881064__11,37.163207749992246,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578881064__8,4.984024855318702,0.6862355726963045,[['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578879557__7', [38.442521589853364, 1.346839031530246, 7.102630648769478]], ['threedpoints_1578879701__7', [37.53403757021645, 1.396908253801873, 6.439917432069318]], ['threedpoints_1578881064__8', [39.99823862508888, 1.416516456207575, 4.984024855318702]], ['threedpoints_1578881064__9', [37.38974190491164, 1.545242027621124, 6.898033653730727]], ['threedpoints_1578881064__9', [38.21055658684135, 1.7510758991549698, 5.3076556161279065]], ['threedpoints_1578879557__10', [39.332616903515, 1.6735127015590057, 5.249905468878276]], ['threedpoints_1578881064__10', [37.84824233276161, 1.5487817683665734, 5.755863996948339]], ['threedpoints_1578881064__11', [37.70282681195953, 1.6430344984031588, 6.339044216895295]], ['threedpoints_1578881064__11', [37.163207749992246, 1.5537783326933625, 7.502359786499665]], ['threedpoints_1578880912__11', [38.44332795080153, 1.3420034443913027, 5.585206232619807]], ['threedpoints_1578879557__12', [39.87942171737303, 1.4294333849555998, 5.375026960660683]]]
2020-01-13 12:39:02,968,2020-01-13_02_12_33,INFO,13,threedpoints_1578881064__13,36.832863771211926,threedpoints_1578880912__2,1.334627501577685,threedpoints_1578879701__13,4.935242819969269,0.5249441527177616,[['threedpoints_1578880912__2', [39.757983115124844, 1.334627501577685, 6.206180121890681]], ['threedpoints_1578881064__8', [39.99823862508888, 1.416516456207575, 4.984024855318702]], ['threedpoints_1578881064__9', [37.38974190491164, 1.545242027621124, 6.898033653730727]], ['threedpoints_1578881064__9', [38.21055658684135, 1.7510758991549698, 5.3076556161279065]], ['threedpoints_1578879557__10', [39.332616903515, 1.6735127015590057, 5.249905468878276]], ['threedpoints_1578881064__10', [37.84824233276161, 1.5487817683665734, 5.755863996948339]], ['threedpoints_1578881064__11', [37.163207749992246, 1.5537783326933625, 7.502359786499665]], ['threedpoints_1578880912__11', [38.44332795080153, 1.3420034443913027, 5.585206232619807]], ['threedpoints_1578879701__13', [44.53804045419549, 2.433654101090722, 4.935242819969269]], ['threedpoints_1578881064__13', [37.35063591764405, 1.4505854232944881, 7.197046822705857]], ['threedpoints_1578881064__13', [36.832863771211926, 1.7182501049421357, 6.342591020124386]], ['threedpoints_1578880912__13', [36.90624893783454, 1.5988854190264359, 6.5710115142568934]]]
