2020-01-16 09:15:14,630,2020-01-16_08_15_14,INFO,rs,1986900320,__main__,population_size,12,x_y_limits,150,z_sigma,5,sample_point_distance,200 Meters,selection_pressure,0.2,pc,0.9,pm,0.5,aimed_point_factor,2,n_crossover,4,mutation_max_disturbance_distance,60,mutation_group_size,4,percentage_inserted_and_deleted,0.25,percentage_disturbed,0.2
2020-01-16 09:26:34,589,2020-01-16_08_15_14,INFO,0,threedpoints_1579162315__0,38.17769200939897,threedpoints_1579162380__0,1.3616950708918982,threedpoints_1579161908,6.158835066781712,593533102.069602,[['threedpoints_1579161830', [42.481318324698826, 2.1539246732714377, 6.280120353685404]], ['threedpoints_1579161908', [45.600181162557035, 2.587676547484538, 6.158835066781712]], ['threedpoints_1579162250', [39.920775749343655, 1.6588053046765872, 7.8972676380353874]], ['threedpoints_1579161988__0', [41.78858404704651, 1.7039353526082723, 6.9856622114286395]], ['threedpoints_1579162315__0', [38.17769200939897, 1.6839264184289315, 8.128586029864646]], ['threedpoints_1579162380__0', [41.14497998671014, 1.3616950708918982, 7.600099485535609]], ['threedpoints_1579162447__0', [39.696742220330236, 1.717068426291513, 7.924583574025879]]]
2020-01-16 09:39:16,330,2020-01-16_08_15_14,INFO,1,threedpoints_1579161656__1,38.04688343216673,threedpoints_1579162380__0,1.3616950708918982,threedpoints_1579162315__1,5.736180585741343,0.3701640901492702,[['threedpoints_1579161830', [42.481318324698826, 2.1539246732714377, 6.280120353685404]], ['threedpoints_1579162250', [39.920775749343655, 1.6588053046765872, 7.8972676380353874]], ['threedpoints_1579161988__0', [41.78858404704651, 1.7039353526082723, 6.9856622114286395]], ['threedpoints_1579162380__0', [41.14497998671014, 1.3616950708918982, 7.600099485535609]], ['threedpoints_1579162447__0', [39.696742220330236, 1.717068426291513, 7.924583574025879]], ['threedpoints_1579161988__1', [40.142477660359205, 1.7067456114881754, 7.881702081725371]], ['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579162447__1', [40.143547677437084, 1.6656059926315199, 7.366534403135639]], ['threedpoints_1579161656__1', [38.04688343216673, 1.505022130852113, 8.00714940051447]]]
2020-01-16 09:53:05,241,2020-01-16_08_15_14,INFO,2,threedpoints_1579161656__1,38.04688343216673,threedpoints_1579162380__0,1.3616950708918982,threedpoints_1579162315__1,5.736180585741343,0.6647529170247566,[['threedpoints_1579162250', [39.920775749343655, 1.6588053046765872, 7.8972676380353874]], ['threedpoints_1579162380__0', [41.14497998671014, 1.3616950708918982, 7.600099485535609]], ['threedpoints_1579162447__0', [39.696742220330236, 1.717068426291513, 7.924583574025879]], ['threedpoints_1579161988__1', [40.142477660359205, 1.7067456114881754, 7.881702081725371]], ['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579162447__1', [40.143547677437084, 1.6656059926315199, 7.366534403135639]], ['threedpoints_1579161656__1', [38.04688343216673, 1.505022130852113, 8.00714940051447]], ['threedpoints_1579161830__2', [40.21892360655583, 1.6099147564226508, 6.647262196876675]], ['threedpoints_1579162447__2', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579161656__2', [40.143547677437084, 1.6656059926315199, 7.366534403135639]], ['threedpoints_1579161656__2', [40.143547677437084, 1.6656059926315199, 7.366534403135639]], ['threedpoints_1579161830__2', [40.70076602290271, 1.5367684329294224, 5.837724879802963]]]
2020-01-16 10:07:54,948,2020-01-16_08_15_14,INFO,3,threedpoints_1579161656__1,38.04688343216673,threedpoints_1579162315__3,1.3557649272141108,threedpoints_1579162315__1,5.736180585741343,0.7432097934679192,[['threedpoints_1579162380__0', [41.14497998671014, 1.3616950708918982, 7.600099485535609]], ['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579161656__1', [38.04688343216673, 1.505022130852113, 8.00714940051447]], ['threedpoints_1579162447__2', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579161830__2', [40.70076602290271, 1.5367684329294224, 5.837724879802963]], ['threedpoints_1579162250__3', [39.06636326131452, 1.4070373463272583, 6.379249422489573]], ['threedpoints_1579162315__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162447__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579161656__3', [38.04688343216673, 1.505022130852113, 8.00714940051447]], ['threedpoints_1579161830__3', [38.04688343216673, 1.505022130852113, 8.00714940051447]]]
2020-01-16 10:23:31,563,2020-01-16_08_15_14,INFO,4,threedpoints_1579161656__4,37.76826742693185,threedpoints_1579162315__3,1.3557649272141108,threedpoints_1579162315__1,5.736180585741343,-0.09763662133719464,[['threedpoints_1579162380__0', [41.14497998671014, 1.3616950708918982, 7.600099485535609]], ['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579161656__1', [38.04688343216673, 1.505022130852113, 8.00714940051447]], ['threedpoints_1579161830__2', [40.70076602290271, 1.5367684329294224, 5.837724879802963]], ['threedpoints_1579162250__3', [39.06636326131452, 1.4070373463272583, 6.379249422489573]], ['threedpoints_1579162315__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162447__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162315__4', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579161656__4', [37.76826742693185, 1.6499039767436292, 7.934301273996037]], ['threedpoints_1579162250__4', [38.05953034360894, 1.486503233717209, 6.850489739845931]], ['threedpoints_1579162447__4', [37.87178945493667, 1.6228822930685871, 6.039716203994451]], ['threedpoints_1579161830__4', [38.04688343216673, 1.505022130852113, 8.00714940051447]]]
2020-01-16 10:40:06,727,2020-01-16_08_15_14,INFO,5,threedpoints_1579161656__4,37.76826742693185,threedpoints_1579162315__3,1.3557649272141108,threedpoints_1579162315__1,5.736180585741343,1.2075976090637326,[['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579161830__2', [40.70076602290271, 1.5367684329294224, 5.837724879802963]], ['threedpoints_1579162250__3', [39.06636326131452, 1.4070373463272583, 6.379249422489573]], ['threedpoints_1579162315__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162447__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162315__4', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579161656__4', [37.76826742693185, 1.6499039767436292, 7.934301273996037]], ['threedpoints_1579162250__4', [38.05953034360894, 1.486503233717209, 6.850489739845931]], ['threedpoints_1579162447__4', [37.87178945493667, 1.6228822930685871, 6.039716203994451]], ['threedpoints_1579161830__4', [38.04688343216673, 1.505022130852113, 8.00714940051447]], ['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162447__5', [40.612116781972034, 1.6998247685060173, 5.83232480983797]]]
2020-01-16 10:57:33,248,2020-01-16_08_15_14,INFO,6,threedpoints_1579162315__6,37.39176886368082,threedpoints_1579162315__3,1.3557649272141108,threedpoints_1579162250__6,5.618661091464663,0.3353004051469064,[['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579162250__3', [39.06636326131452, 1.4070373463272583, 6.379249422489573]], ['threedpoints_1579162315__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162447__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162315__4', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579162447__4', [37.87178945493667, 1.6228822930685871, 6.039716203994451]], ['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162447__5', [40.612116781972034, 1.6998247685060173, 5.83232480983797]], ['threedpoints_1579162315__6', [37.438548043590366, 1.6330040253664506, 6.831279177274497]], ['threedpoints_1579162447__6', [50.65708942634314, 2.9491228125482936, 5.624543590476489]], ['threedpoints_1579162250__6', [50.865872233050844, 2.932172604158281, 5.618661091464663]], ['threedpoints_1579162315__6', [37.39176886368082, 1.4864008990704773, 6.967857464506839]]]
2020-01-16 11:15:56,184,2020-01-16_08_15_14,INFO,7,threedpoints_1579162315__6,37.39176886368082,threedpoints_1579162315__3,1.3557649272141108,threedpoints_1579162315__7,5.420633697639477,-0.06633672093882126,[['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579162250__3', [39.06636326131452, 1.4070373463272583, 6.379249422489573]], ['threedpoints_1579162315__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162447__3', [41.16479143005604, 1.3557649272141108, 7.609475167762702]], ['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162447__5', [40.612116781972034, 1.6998247685060173, 5.83232480983797]], ['threedpoints_1579162447__6', [50.65708942634314, 2.9491228125482936, 5.624543590476489]], ['threedpoints_1579162250__6', [50.865872233050844, 2.932172604158281, 5.618661091464663]], ['threedpoints_1579162315__6', [37.39176886368082, 1.4864008990704773, 6.967857464506839]], ['threedpoints_1579162315__7', [49.93638148853417, 2.8665781190302013, 5.679459386775025]], ['threedpoints_1579162315__7', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162250__7', [45.223441702175315, 2.4815980096494847, 5.743189146379723]]]
2020-01-16 11:35:34,410,2020-01-16_08_15_14,INFO,8,threedpoints_1579162315__6,37.39176886368082,threedpoints_1579162250__8,1.3296437586673888,threedpoints_1579162315__7,5.420633697639477,-0.8996394483533301,[['threedpoints_1579162315__1', [45.21420618803453, 2.491956948336318, 5.736180585741343]], ['threedpoints_1579162250__3', [39.06636326131452, 1.4070373463272583, 6.379249422489573]], ['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162447__5', [40.612116781972034, 1.6998247685060173, 5.83232480983797]], ['threedpoints_1579162447__6', [50.65708942634314, 2.9491228125482936, 5.624543590476489]], ['threedpoints_1579162250__6', [50.865872233050844, 2.932172604158281, 5.618661091464663]], ['threedpoints_1579162315__6', [37.39176886368082, 1.4864008990704773, 6.967857464506839]], ['threedpoints_1579162315__7', [49.93638148853417, 2.8665781190302013, 5.679459386775025]], ['threedpoints_1579162315__7', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162447__8', [45.223441702175315, 2.4815980096494847, 5.743189146379723]], ['threedpoints_1579162250__8', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162250__8', [39.459628106846665, 1.3296437586673888, 6.603320012441354]]]
2020-01-16 11:56:25,311,2020-01-16_08_15_14,INFO,9,threedpoints_1579162315__6,37.39176886368082,threedpoints_1579162250__8,1.3296437586673888,threedpoints_1579162250__9,5.119890470876343,0.4944228640072872,[['threedpoints_1579162250__3', [39.06636326131452, 1.4070373463272583, 6.379249422489573]], ['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162447__5', [40.612116781972034, 1.6998247685060173, 5.83232480983797]], ['threedpoints_1579162315__6', [37.39176886368082, 1.4864008990704773, 6.967857464506839]], ['threedpoints_1579162315__7', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162250__8', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162250__8', [39.459628106846665, 1.3296437586673888, 6.603320012441354]], ['threedpoints_1579162250__9', [49.539505711476004, 3.4592217807757906, 5.119890470876343]], ['threedpoints_1579162250__9', [39.84943684825594, 1.8408318056641573, 5.58605410865916]], ['threedpoints_1579162315__9', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162315__9', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162315__9', [38.931463190387085, 1.702754671337961, 6.6125795876229825]]]
2020-01-16 12:18:00,812,2020-01-16_08_15_14,INFO,10,threedpoints_1579162447__10,37.10234543410544,threedpoints_1579162250__8,1.3296437586673888,threedpoints_1579162250__9,5.119890470876343,-0.036756424770960194,[['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162315__7', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162250__8', [39.459628106846665, 1.3296437586673888, 6.603320012441354]], ['threedpoints_1579162250__9', [49.539505711476004, 3.4592217807757906, 5.119890470876343]], ['threedpoints_1579162250__9', [39.84943684825594, 1.8408318056641573, 5.58605410865916]], ['threedpoints_1579162315__9', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162315__9', [38.931463190387085, 1.702754671337961, 6.6125795876229825]], ['threedpoints_1579162447__10', [37.10234543410544, 1.6361980792752098, 7.0334246112378205]], ['threedpoints_1579162315__10', [49.1856801967949, 2.8888787015002753, 5.203987369159644]], ['threedpoints_1579162250__10', [40.19121891842831, 1.6164130621767525, 5.818086938271757]], ['threedpoints_1579162250__10', [49.11070489777823, 3.427736472895282, 5.373526061054466]], ['threedpoints_1579162315__10', [40.39255154973534, 1.6576724281390849, 5.7216479545523455]]]
2020-01-16 12:39:39,033,2020-01-16_08_15_14,INFO,11,threedpoints_1579162447__10,37.10234543410544,threedpoints_1579162250__8,1.3296437586673888,threedpoints_1579162250__9,5.119890470876343,800319878.053092,[['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162315__7', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162250__8', [39.459628106846665, 1.3296437586673888, 6.603320012441354]], ['threedpoints_1579162250__9', [49.539505711476004, 3.4592217807757906, 5.119890470876343]], ['threedpoints_1579162250__9', [39.84943684825594, 1.8408318056641573, 5.58605410865916]], ['threedpoints_1579162447__10', [37.10234543410544, 1.6361980792752098, 7.0334246112378205]], ['threedpoints_1579162315__10', [49.1856801967949, 2.8888787015002753, 5.203987369159644]], ['threedpoints_1579162315__10', [40.39255154973534, 1.6576724281390849, 5.7216479545523455]], ['threedpoints_1579162315__11', [48.71683180494995, 3.487104871683334, 5.420633697639477]], ['threedpoints_1579162250__11', [38.536784620877015, 1.559664115466211, 6.5367092459742615]], ['threedpoints_1579162315__11', [39.418415426013674, 1.4042680893696806, 6.459368686605655]], ['threedpoints_1579162250__11', [37.386585785325295, 1.4849830571178184, 6.990413028830089]]]
2020-01-16 13:02:21,988,2020-01-16_08_15_14,INFO,12,threedpoints_1579162447__10,37.10234543410544,threedpoints_1579162250__8,1.3296437586673888,threedpoints_1579162250__9,5.119890470876343,0.5618923796928641,[['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162250__8', [39.459628106846665, 1.3296437586673888, 6.603320012441354]], ['threedpoints_1579162250__9', [49.539505711476004, 3.4592217807757906, 5.119890470876343]], ['threedpoints_1579162250__9', [39.84943684825594, 1.8408318056641573, 5.58605410865916]], ['threedpoints_1579162447__10', [37.10234543410544, 1.6361980792752098, 7.0334246112378205]], ['threedpoints_1579162315__10', [49.1856801967949, 2.8888787015002753, 5.203987369159644]], ['threedpoints_1579162315__10', [40.39255154973534, 1.6576724281390849, 5.7216479545523455]], ['threedpoints_1579162250__11', [38.536784620877015, 1.559664115466211, 6.5367092459742615]], ['threedpoints_1579162250__11', [37.386585785325295, 1.4849830571178184, 6.990413028830089]], ['threedpoints_1579162315__12', [39.00629709942179, 1.5192010956297826, 6.275344789243352]], ['threedpoints_1579162250__12', [46.381598529346654, 2.7096955058414425, 5.23373161930224]], ['threedpoints_1579162250__12', [39.27723510078164, 1.4576501431598974, 6.609852596815286]]]
2020-01-16 13:25:30,422,2020-01-16_08_15_14,INFO,13,threedpoints_1579162250__13,36.26526335563812,threedpoints_1579162250__8,1.3296437586673888,threedpoints_1579162250__9,5.119890470876343,0.7388493478596878,[['threedpoints_1579162315__5', [38.11490620678431, 1.4352277834745615, 7.289964572802697]], ['threedpoints_1579162250__8', [39.459628106846665, 1.3296437586673888, 6.603320012441354]], ['threedpoints_1579162250__9', [49.539505711476004, 3.4592217807757906, 5.119890470876343]], ['threedpoints_1579162250__9', [39.84943684825594, 1.8408318056641573, 5.58605410865916]], ['threedpoints_1579162315__10', [49.1856801967949, 2.8888787015002753, 5.203987369159644]], ['threedpoints_1579162315__10', [40.39255154973534, 1.6576724281390849, 5.7216479545523455]], ['threedpoints_1579162250__11', [38.536784620877015, 1.559664115466211, 6.5367092459742615]], ['threedpoints_1579162250__11', [37.386585785325295, 1.4849830571178184, 6.990413028830089]], ['threedpoints_1579162315__12', [39.00629709942179, 1.5192010956297826, 6.275344789243352]], ['threedpoints_1579162250__12', [46.381598529346654, 2.7096955058414425, 5.23373161930224]], ['threedpoints_1579162250__13', [36.26526335563812, 1.593553720851669, 6.9111713968804995]], ['threedpoints_1579162250__13', [46.381598529346654, 2.7096955058414425, 5.23373161930224]]]
