2020-05-05 19:44:54,030,2020-05-05_17_44_54,INFO,rs,1472835776,__main__,population_size,16,x_y_limits,900,z_sigma,5,sample_point_distance,400 Meters,selection_pressure,0.4,pc,0.9,pm,0.5,aimed_point_factor,2,n_crossover,4,mutation_max_disturbance_distance,200,mutation_group_size,3,percentage_inserted_and_deleted,0.25,percentage_disturbed,0.2
2020-05-05 22:47:49,972,2020-05-05_17_44_54,INFO,0,threedpoints_1588685737__0,156.21455491984668,threedpoints_1588681535__0,10.049161238989427,threedpoints_1588698430__0,6.664662824287185,838189317.1099107,[['threedpoints_1588682697__0', [157.58558950701408, 5.9872376764206745, 7.324264305137398]], ['threedpoints_1588685737__0', [156.21455491984668, 6.161736539188999, 7.748983269519367]], ['threedpoints_1588698430__0', [187.87297663895797, 9.050819125245665, 6.664662824287185]]]
2020-05-06 02:38:56,267,2020-05-05_17_44_54,INFO,1,threedpoints_1588687142__1,135.38178058222238,threedpoints_1588683953__1,4.382857549740294,threedpoints_1588682697__1,6.5505666359863275,519822936.69288635,[['threedpoints_1588687142__1', [135.38178058222238, 4.518639577768901, 7.49110284273032]], ['threedpoints_1588683953__1', [143.03398991398822, 4.382857549740294, 7.204073305714978]], ['threedpoints_1588682697__1', [178.50667449642728, 8.73710276239548, 6.5505666359863275]], ['threedpoints_1588687822__1', [142.57769222305004, 4.6407030566485075, 7.227991607364828]]]
2020-05-06 05:56:08,617,2020-05-05_17_44_54,INFO,2,threedpoints_1588687142__1,135.38178058222238,threedpoints_1588687822__2,4.200272540653673,threedpoints_1588683953__2,6.471081616012175,710213372.7709483,[['threedpoints_1588687142__1', [135.38178058222238, 4.518639577768901, 7.49110284273032]], ['threedpoints_1588683953__2', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__2', [139.96230939085572, 4.584354072243714, 7.257182714334453]], ['threedpoints_1588687822__2', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588681535__2', [139.30155475622814, 5.351297460773454, 7.370564073919459]]]
2020-05-06 08:33:49,982,2020-05-05_17_44_54,INFO,3,threedpoints_1588682697__3,133.82158414933767,threedpoints_1588687822__2,4.200272540653673,threedpoints_1588683953__2,6.471081616012175,519822947.6609674,[['threedpoints_1588687142__1', [135.38178058222238, 4.518639577768901, 7.49110284273032]], ['threedpoints_1588683953__2', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__2', [139.96230939085572, 4.584354072243714, 7.257182714334453]], ['threedpoints_1588687822__2', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588687142__3', [138.70016490384856, 4.527064763487645, 7.395940275829585]], ['threedpoints_1588687822__3', [138.2809270647272, 4.5500783183178015, 7.390576155262187]], ['threedpoints_1588683953__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588682697__3', [133.82158414933767, 4.7403791587575945, 7.684783807221629]], ['threedpoints_1588687822__3', [136.41905642508254, 4.835443891697429, 7.456411317932146]], ['threedpoints_1588685737__3', [134.39648335520607, 4.294069467160676, 7.602964722829351]], ['threedpoints_1588687142__3', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588685737__3', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588682697__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588687822__3', [138.2809270647272, 4.5500783183178015, 7.390576155262187]], ['threedpoints_1588682974__3', [138.2809270647272, 4.5500783183178015, 7.390576155262187]]]
2020-05-06 12:22:30,927,2020-05-05_17_44_54,INFO,4,threedpoints_1588682697__3,133.82158414933767,threedpoints_1588687822__2,4.200272540653673,threedpoints_1588683953__2,6.471081616012175,519822942.95563096,[['threedpoints_1588683953__2', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__2', [139.96230939085572, 4.584354072243714, 7.257182714334453]], ['threedpoints_1588687822__2', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588682697__3', [133.82158414933767, 4.7403791587575945, 7.684783807221629]], ['threedpoints_1588685737__3', [134.39648335520607, 4.294069467160676, 7.602964722829351]], ['threedpoints_1588685737__3', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588682697__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588687142__4', [135.27573116119547, 4.308197458097631, 7.346233120845713]], ['threedpoints_1588687822__4', [154.72918985134854, 6.330789022159078, 6.528290630628387]], ['threedpoints_1588683953__4', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__4', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687822__4', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588683953__4', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588682697__4', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687822__4', [165.85009422796224, 7.033543773953804, 6.471081616012175]]]
2020-05-06 16:14:51,599,2020-05-05_17_44_54,INFO,5,threedpoints_1588687142__5,130.4442578360845,threedpoints_1588687142__5,4.082543312274617,threedpoints_1588683953__2,6.471081616012175,1.350278583097193,[['threedpoints_1588683953__2', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__2', [139.96230939085572, 4.584354072243714, 7.257182714334453]], ['threedpoints_1588687822__2', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588685737__3', [134.39648335520607, 4.294069467160676, 7.602964722829351]], ['threedpoints_1588682697__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588687142__4', [135.27573116119547, 4.308197458097631, 7.346233120845713]], ['threedpoints_1588687822__4', [154.72918985134854, 6.330789022159078, 6.528290630628387]], ['threedpoints_1588687822__4', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588687142__5', [130.4442578360845, 4.082543312274617, 7.622520790654165]], ['threedpoints_1588687822__5', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588685737__5', [151.07712796617488, 5.988976334149464, 6.763318445292587]], ['threedpoints_1588685737__5', [145.7928241036878, 6.2353498576770345, 6.99591519333741]], ['threedpoints_1588687142__5', [155.46574814730613, 5.386751950895613, 6.893193804139748]], ['threedpoints_1588687822__5', [132.43638013045216, 4.440469103692424, 7.575275124051926]], ['threedpoints_1588687822__5', [165.85009422796224, 7.033543773953804, 6.471081616012175]]]
2020-05-06 20:28:17,375,2020-05-05_17_44_54,INFO,6,threedpoints_1588683953__6,120.2525823303021,threedpoints_1588683953__6,2.720270308410418,threedpoints_1588683953__2,6.471081616012175,1.9194743485276433,[['threedpoints_1588683953__2', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__2', [139.96230939085572, 4.584354072243714, 7.257182714334453]], ['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588682697__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588687822__4', [154.72918985134854, 6.330789022159078, 6.528290630628387]], ['threedpoints_1588687822__4', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588687822__5', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588685737__5', [145.7928241036878, 6.2353498576770345, 6.99591519333741]], ['threedpoints_1588683953__6', [148.91231125666295, 6.018356764870779, 6.784538612002397]], ['threedpoints_1588687142__6', [149.67935371752645, 5.062361921490926, 6.637219704576573]], ['threedpoints_1588683953__6', [120.2525823303021, 2.720270308410418, 7.757279200228699]], ['threedpoints_1588682697__6', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__6', [129.50783595444616, 4.125494888797759, 7.33767394114791]], ['threedpoints_1588687822__6', [121.14113149774644, 2.7314599737662846, 7.684057363844984]], ['threedpoints_1588685737__6', [140.54731461466915, 4.531218400532024, 7.303107127892707]], ['threedpoints_1588687142__6', [127.81779062280273, 3.7515914106553723, 7.596157902019222]]]
2020-05-07 00:36:25,440,2020-05-05_17_44_54,INFO,7,threedpoints_1588687822__7,119.36808500334932,threedpoints_1588683953__7,2.6796547756468403,threedpoints_1588683953__2,6.471081616012175,519822948.49325573,[['threedpoints_1588683953__2', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__2', [139.96230939085572, 4.584354072243714, 7.257182714334453]], ['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588682697__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588687822__4', [154.72918985134854, 6.330789022159078, 6.528290630628387]], ['threedpoints_1588687822__5', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588683953__6', [148.91231125666295, 6.018356764870779, 6.784538612002397]], ['threedpoints_1588687142__6', [149.67935371752645, 5.062361921490926, 6.637219704576573]], ['threedpoints_1588682697__6', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__6', [129.50783595444616, 4.125494888797759, 7.33767394114791]], ['threedpoints_1588687142__6', [127.81779062280273, 3.7515914106553723, 7.596157902019222]], ['threedpoints_1588683953__7', [144.92770934960475, 4.734971242715504, 6.857613835013247]], ['threedpoints_1588687822__7', [133.9249410539288, 4.183711016326475, 7.299655144271317]], ['threedpoints_1588683953__7', [119.72879321751324, 2.6796547756468403, 7.640856824043859]], ['threedpoints_1588687142__7', [119.72879321751324, 2.6796547756468403, 7.640856824043859]], ['threedpoints_1588687822__7', [119.36808500334932, 2.682058170196105, 7.609582186951352]]]
2020-05-07 05:05:13,461,2020-05-05_17_44_54,INFO,8,threedpoints_1588687142__8,118.70863494208426,threedpoints_1588687142__8,2.559044906072252,threedpoints_1588683953__2,6.471081616012175,519822947.22245646,[['threedpoints_1588683953__2', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__2', [139.96230939085572, 4.584354072243714, 7.257182714334453]], ['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588682697__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588687822__4', [154.72918985134854, 6.330789022159078, 6.528290630628387]], ['threedpoints_1588687822__5', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588683953__6', [148.91231125666295, 6.018356764870779, 6.784538612002397]], ['threedpoints_1588687142__6', [149.67935371752645, 5.062361921490926, 6.637219704576573]], ['threedpoints_1588682697__6', [165.85009422796224, 7.033543773953804, 6.471081616012175]], ['threedpoints_1588687142__6', [129.50783595444616, 4.125494888797759, 7.33767394114791]], ['threedpoints_1588683953__7', [144.92770934960475, 4.734971242715504, 6.857613835013247]], ['threedpoints_1588687822__7', [133.9249410539288, 4.183711016326475, 7.299655144271317]], ['threedpoints_1588682697__8', [154.72918985134854, 6.330789022159078, 6.528290630628387]], ['threedpoints_1588683953__8', [118.83675453889134, 2.6535078571169395, 7.451974970114621]], ['threedpoints_1588687142__8', [118.70863494208426, 2.559044906072252, 7.464485911303311]], ['threedpoints_1588687142__8', [153.35940196714444, 6.177205441758608, 6.595595986597568]]]
2020-05-07 10:30:49,744,2020-05-05_17_44_54,INFO,9,threedpoints_1588687822__9,118.27236170723532,threedpoints_1588682697__9,2.5166434813528893,threedpoints_1588683953__9,6.366605517627524,5.343655828491983,[['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588682697__3', [141.47685869425794, 4.200272540653673, 7.156556833458879]], ['threedpoints_1588687822__5', [151.8653114759674, 5.814003659146467, 6.634049471865343]], ['threedpoints_1588683953__6', [148.91231125666295, 6.018356764870779, 6.784538612002397]], ['threedpoints_1588687142__6', [149.67935371752645, 5.062361921490926, 6.637219704576573]], ['threedpoints_1588687142__6', [129.50783595444616, 4.125494888797759, 7.33767394114791]], ['threedpoints_1588683953__7', [144.92770934960475, 4.734971242715504, 6.857613835013247]], ['threedpoints_1588687822__7', [133.9249410539288, 4.183711016326475, 7.299655144271317]], ['threedpoints_1588682697__8', [154.72918985134854, 6.330789022159078, 6.528290630628387]], ['threedpoints_1588687142__8', [118.70863494208426, 2.559044906072252, 7.464485911303311]], ['threedpoints_1588687142__8', [153.35940196714444, 6.177205441758608, 6.595595986597568]], ['threedpoints_1588687822__9', [118.27236170723532, 2.6979529782785603, 7.3857085563913225]], ['threedpoints_1588682697__9', [131.58902853285187, 4.344413850751401, 7.11359858293856]], ['threedpoints_1588683953__9', [161.0887185921366, 6.558329830480162, 6.366605517627524]], ['threedpoints_1588682697__9', [120.35161415881953, 2.5166434813528893, 7.438139702983481]], ['threedpoints_1588683953__9', [126.90261069240289, 3.7016714499727037, 7.357882302605736]]]
2020-05-07 15:48:37,327,2020-05-05_17_44_54,INFO,10,threedpoints_1588687822__9,118.27236170723532,threedpoints_1588683953__10,2.4544348226629435,threedpoints_1588683953__9,6.366605517627524,1.2369456979045523,[['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588687142__6', [149.67935371752645, 5.062361921490926, 6.637219704576573]], ['threedpoints_1588683953__7', [144.92770934960475, 4.734971242715504, 6.857613835013247]], ['threedpoints_1588687822__9', [118.27236170723532, 2.6979529782785603, 7.3857085563913225]], ['threedpoints_1588682697__9', [131.58902853285187, 4.344413850751401, 7.11359858293856]], ['threedpoints_1588683953__9', [161.0887185921366, 6.558329830480162, 6.366605517627524]], ['threedpoints_1588683953__10', [118.57751899016705, 2.4544348226629435, 7.372012403290188]], ['threedpoints_1588683953__10', [161.0887185921366, 6.558329830480162, 6.366605517627524]], ['threedpoints_1588687142__10', [137.89586362472494, 4.79174682334034, 6.676204874244134]], ['threedpoints_1588682697__10', [132.1401226737219, 3.6731869704366367, 7.149592159579875]], ['threedpoints_1588687142__10', [134.05600227845446, 5.090282151759425, 6.626367768046972]], ['threedpoints_1588687142__10', [118.35590022350011, 2.5614389179385313, 7.417934683101393]], ['threedpoints_1588687822__10', [118.31149642451713, 2.631561237062368, 7.585259138506831]], ['threedpoints_1588683953__10', [122.17991609052194, 3.316086919776807, 7.279886840397626]], ['threedpoints_1588682697__10', [144.5134277151294, 5.490122302638359, 6.490034853446518]], ['threedpoints_1588683953__10', [147.45988212397125, 5.2869310499742905, 6.541798026036712]]]
2020-05-07 20:59:33,937,2020-05-05_17_44_54,INFO,11,threedpoints_1588683953__11,117.3001248242279,threedpoints_1588687142__11,2.4059618242078966,threedpoints_1588683953__9,6.366605517627524,-0.39252544725376026,[['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588683953__7', [144.92770934960475, 4.734971242715504, 6.857613835013247]], ['threedpoints_1588682697__9', [131.58902853285187, 4.344413850751401, 7.11359858293856]], ['threedpoints_1588683953__9', [161.0887185921366, 6.558329830480162, 6.366605517627524]], ['threedpoints_1588683953__10', [118.57751899016705, 2.4544348226629435, 7.372012403290188]], ['threedpoints_1588683953__10', [161.0887185921366, 6.558329830480162, 6.366605517627524]], ['threedpoints_1588687142__10', [137.89586362472494, 4.79174682334034, 6.676204874244134]], ['threedpoints_1588682697__10', [132.1401226737219, 3.6731869704366367, 7.149592159579875]], ['threedpoints_1588687142__10', [134.05600227845446, 5.090282151759425, 6.626367768046972]], ['threedpoints_1588683953__10', [122.17991609052194, 3.316086919776807, 7.279886840397626]], ['threedpoints_1588682697__10', [144.5134277151294, 5.490122302638359, 6.490034853446518]], ['threedpoints_1588683953__11', [144.5134277151294, 5.490122302638359, 6.490034853446518]], ['threedpoints_1588687142__11', [119.85663907152417, 2.4059618242078966, 7.490658549057305]], ['threedpoints_1588683953__11', [117.3001248242279, 2.487112221545156, 7.3420097390606065]], ['threedpoints_1588683953__11', [130.84593606891545, 3.8601966552747466, 7.245748381766017]], ['threedpoints_1588687142__11', [143.6614843780977, 5.057273600606413, 6.538535548033245]]]
2020-05-08 02:05:30,476,2020-05-05_17_44_54,INFO,12,threedpoints_1588683953__12,116.20601920329925,threedpoints_1588687142__11,2.4059618242078966,threedpoints_1588683953__9,6.366605517627524,-0.6482975057095075,[['threedpoints_1588683953__3', [136.69415511194143, 4.658002190332584, 7.013739496097761]], ['threedpoints_1588682697__9', [131.58902853285187, 4.344413850751401, 7.11359858293856]], ['threedpoints_1588683953__9', [161.0887185921366, 6.558329830480162, 6.366605517627524]], ['threedpoints_1588683953__10', [118.57751899016705, 2.4544348226629435, 7.372012403290188]], ['threedpoints_1588683953__10', [161.0887185921366, 6.558329830480162, 6.366605517627524]], ['threedpoints_1588687142__10', [137.89586362472494, 4.79174682334034, 6.676204874244134]], ['threedpoints_1588682697__10', [132.1401226737219, 3.6731869704366367, 7.149592159579875]], ['threedpoints_1588687142__10', [134.05600227845446, 5.090282151759425, 6.626367768046972]], ['threedpoints_1588683953__10', [122.17991609052194, 3.316086919776807, 7.279886840397626]], ['threedpoints_1588687142__11', [119.85663907152417, 2.4059618242078966, 7.490658549057305]], ['threedpoints_1588683953__11', [117.3001248242279, 2.487112221545156, 7.3420097390606065]], ['threedpoints_1588683953__11', [130.84593606891545, 3.8601966552747466, 7.245748381766017]], ['threedpoints_1588687142__11', [143.6614843780977, 5.057273600606413, 6.538535548033245]], ['threedpoints_1588683953__12', [116.20601920329925, 2.517941757800532, 7.393873205069212]], ['threedpoints_1588687142__12', [144.69911018426086, 5.741713483935085, 6.4695911213105]], ['threedpoints_1588682697__12', [141.80373629252253, 4.47457698650325, 6.711866674316322]]]
